01-E6| — |R4A-01|〔亲算自证｜脚本独立路线双证＝一致：比例路线 Ep₂＝Ep₁·(q₂/q₁)＝2×10⁻⁹J 与定义式路线同值（`亲算校验-输出.txt` R4A-01 三行 PASS）〕
01-E11| — |R4M-03|〔亲算印证｜设 P(0,0)、M(1.5,1.4)、N(2.5,0)：余弦定理 ∠M=82.5° 最大且三内角全锐；PN 最长⇒PM<PN；垂足参数 t*=0.155∈(0,1)（距 P 先减后增→E 先增后减）；负电荷做功 (−1)(1/PM−1/PN)<0（`自检重推-输出.txt` 选2 五行 PASS）〕
04-E10| — |R4M-09|〔亲算印证｜设 S→S/2、U=6V 不变：C∝S 减半；Q=CU 6→3 减半；E=U/d 不变；φ_P=E·(P 距接地下板距离) 不变（`自检重推-输出.txt` 选3 四行 PASS）〕
05-E16| — |R4M-10|〔亲算印证｜E_kmax=e(4−(−2))=6eV=9.6×10⁻¹⁹J（相对容差核）；干扰值 4/2/8eV 均≠峰谷差 6eV（`自检重推-输出.txt` 选4 三行 PASS）〕
01-E13| — |R4K-01|〔亲算印证｜脚本独立路线双证＝一致：比值两路同值 −8V；比例式 Ep₃＝Ep₁·(q₃/q₁)＝8×10⁻⁹J 与定义式路线同值（`亲算校验-批A-输出.txt` R4K-01 五行 PASS）〕
01-E14| — |R4K-02|〔亲算印证｜脚本独立路线：eV 档核（2.4×10⁻¹⁸/1.6×10⁻¹⁹＝15）＋W/ΔEp/Ep_N 全链数值＋「Ep_M＞Ep_N ⇒ φ_M＜φ_N（q＜0）」符号布尔核（`亲算校验-批A-输出.txt` R4K-02 六行 PASS）〕
01-E15| — |R4K-03|〔亲算印证｜脚本独立路线：kQ 积还原 9V·m→φ_B 直除与比例两路同值 30V；W 两路（Ep 差 vs qΔφ）同值 1.2×10⁻⁶J（`亲算校验-批A-输出.txt` R4K-03 七行 PASS）〕
01-E16| — |R4K-04|〔亲算印证｜脚本独立路线：φ 两点直除；W 两路（Ep 差 vs qΔφ）同值；平移重算 φ_A′＝300V、W′＝W＝9×10⁻⁶J 不变性核（`亲算校验-批A-输出.txt` R4K-04 八行 PASS）〕
04-E12| — |R4K-05|〔亲算印证｜脚本独立路线：C 两路同值 5×10⁻⁶F；斜率×C＝1 核（k＝2×10⁵V/C）；外推 Q(15V)＝7.5×10⁻⁵C；线性核 Q₂/Q₁＝U₂/U₁＝3（`亲算校验-批A-输出.txt` R4K-05 六行 PASS）〕
04-E13| — |R4K-06|〔亲算印证｜脚本约化单位设值（S_甲=2、d_甲=2、S_乙=1、d_乙=1）：C_甲＝C_乙＝1（约化），比值 1.0；片面推理干扰值核（只看 S 得 2）PASS（`亲算校验-批A-输出.txt` R4K-06 五行）〕
04-E14| — |R4K-07|〔亲算印证｜脚本三路互证：E＝½CU²、E＝Q²/(2C)、E＝½QU 全等 45J；Q＝CU＝0.3C（`亲算校验-批A-输出.txt` R4K-07 四行 PASS）〕
04-E15| — |R4K-08|〔亲算印证｜脚本独立路线：Q₁=Q₂ 相等核；E₁/E₂ 两公式（½CU² 与 Q²/2C）同值；半放电 U′＝3V、E′＝9×10⁻⁶J 且 E′＝E₁/4 核（`亲算校验-批A-输出.txt` R4K-08 十一行 PASS）〕
04-E16| — |R4K-09|〔亲算印证｜脚本三路互证：面积法 ½QU、½CU²、Q²/2C 全等 1.0×10⁻²J（`亲算校验-批A-输出.txt` R4K-09 四行 PASS）〕
03-E8| — |R4L-01|〔亲算印证｜定性反例核验 4 条（`亲算校验批B-输出.txt`）：A 反例＝点电荷场 U=Ed 不成立；B 正核＝U_AB=E·d_沿场（垂直分量零贡献）；C 反例＝d 增大使 U 增大而 E 不变；D 反例＝非匀强场 E 随位置变。唯一正确项 B ✓〕
03-E9| — |R4L-02|〔亲算印证｜定性反例核验 4 条（`亲算校验批B-输出.txt`）：A 反例＝等势面方向电势不变；B 反例＝锐角方向电势亦降；C 正核＝单位距离电势降 |E| 沿场最大；D 反例＝等量同种正电荷中点 E=0 而 φ>0。唯一正确项 C ✓〕
03-E10| — |R4L-03|〔亲算印证｜脚本独立路线 ΔEp=q(φ_B−φ_A) 反解 φ_B−φ_A=−500V ⇒ U_AB=500V，与主详解 W/q 直除同值；W=ΔEk、ΔEp=−W 两断言分别复验（`亲算校验批B-输出.txt` R4L-03 四行 PASS）〕
03-E11| — |R4L-04|〔亲算印证｜脚本独立路线 F·d：F＝qE＝2×10⁻⁸×2.5×10⁴N＝5×10⁻⁴N（沿场方向），W＝Fd＝5×10⁻⁴×0.040J＝2×10⁻⁵J，与 qU 路线同值（`亲算校验批B-输出.txt` R4L-04 三行 PASS）〕
03-E12| — |R4L-05|〔亲算印证｜脚本独立路线：E 首末点直除 (50−30)/0.05＝400V/m；φ 线性式 50−400×0.10＝10V；Ep 独立换算 −1.6×10⁻¹⁹×10＝−1.6×10⁻¹⁸J，三空与主详解全等（`亲算校验批B-输出.txt` R4L-05 六行 PASS）〕
03-E13| — |R4L-06|〔亲算印证｜脚本独立路线：间距相同 ⇒ 场强比＝电势差比，E₂₃/E₁₂＝14/10＝1.4＞1，与分别直除 500/700 同向同值（`亲算校验批B-输出.txt` R4L-06 三行 PASS）〕
03-E14| — |R4L-07|〔亲算印证｜脚本独立路线：先由 W=q(φ_M−φ_N) 反设 φ_N=100V，回代 W=5×10⁻⁹×(40−100)J=−3×10⁻⁷J 与题给克服量吻合（`亲算校验批B-输出.txt` R4L-07 两行 PASS）〕
03-E15| — |R4L-08|〔亲算印证｜脚本独立路线：F＝eE＝1.6×10⁻¹⁹×200N 指向高电势，W＝F·d_BA＝3.2×10⁻¹⁷×0.30J＝9.6×10⁻¹⁸J 与 qU_BA 路线同值；Ep_A 独立换算 −40e 路线同值（`亲算校验批B-输出.txt` R4L-08 五行 PASS）〕
03-E16| — |R4L-09|〔亲算印证｜脚本独立路线：ΔEp=q(φ_N−φ_M) 直算＋W=−ΔEp＋Ek_N=Ek_M−ΔEp 三段与主详解（U→W→动能定理）互逆全等（`亲算校验批B-输出.txt` R4L-09 六行 PASS）〕
